clean_tweet,relevant,entities,A,B,C
cybersecurity office 365 biz users targeted in novel phish scheme infosec,1,O B-PRO B-VER O O O O O O O O,0,0,1
adobe flash player flaws remain the most used by exploit kits,1,B-ORG B-PRO I-PRO O O O O O O O O,0,0,1
threatmeter microsoft windows 7 sp1 nfo file handler msinfo32.exe privilege escalation,1,O B-ORG B-PRO B-VER I-VER O O O O B-VUL I-VUL,0,0,1
threatmeter na cve-2016-3684 sap download manager 2.1.142 and earlier uses a ,1,O O B-ID B-ORG B-PRO I-PRO B-VER O O O O,0,0,1
cybersecurity ubuntu app crash reporter bug allows remote code execution infosec,1,O B-PRO O O O O O B-VUL I-VUL I-VUL O,0,1,0
threatmeter redhat jboss enterprise application platform 7.0.1 http response splitting vulnerability,1,O B-ORG B-PRO I-PRO I-PRO I-PRO B-VER O O O O,1,0,1
for the second time this year adobe has issued an emergency fix to address a zero-day flaw in flash player that s ,1,O O O O O O B-ORG O O O O O O O O O O O B-PRO I-PRO O O,0,0,1
splunk 6.2.3 7.0.1 information disclosure splunk versions 6.2.3 through 7.0.1 suffer from an information ,1,B-PRO B-VER I-VER O O O O B-VER I-VER I-VER O O O O,1,0,0
critical flaw in pricewaterhousecoopers sap security tool but pwc tries downplay pwc sap ha ,1,O O O O B-ORG O B-PRO O O O O O B-ORG O,0,0,1
threatmeter zdi-16-675 microsoft windows ado recordset getrows use-after-free information disclosure vulnerabili ,1,O B-ID B-ORG B-PRO O O O B-VUL I-VUL I-VUL O,0,0,1
threatmeter microsoft internet explorer html help control 4.74 bypass microsoft internet explorer html help contr ,1,O B-ORG B-PRO I-PRO O O O B-VER O B-ORG B-PRO I-PRO O O O,0,0,1
sap patches multiple xss and missing authorization vulnerabilities sap on tuesday released its first set infosec,1,B-ORG O B-VUL I-VUL O B-VUL I-VUL I-VUL B-ORG O O O O O O O,0,0,1
new kangaroo ransomware not only encrypts your data but tries to lock you out of windows too: ,1,O B-VUL I-VUL O O O O O O O O O O O O B-PRO O,0,0,1
satan ransomware re-emerge amp attack using eternalblue exploit to compromise windows pc satan ransomware infosec,1,O O O B-PRO O O O O O O B-PRO O O O O,0,0,1
threatmeter adobe flash player flaws remain the most used by exploit kits,1,O B-ORG B-PRO I-PRO O O O O O O O O,0,0,1
openstack ocata announced then briefly withheld,1,B-PRO O O O O O,1,0,0
